del_date,he,system_demand
2018-01-16T00:00:00.000Z,3,9543
2018-01-16T00:00:00.000Z,4,9567
2018-01-16T00:00:00.000Z,5,9630
2018-01-16T00:00:00.000Z,6,9799
2018-01-16T00:00:00.000Z,7,10164
2018-01-16T00:00:00.000Z,8,10538
2018-01-16T00:00:00.000Z,9,10617
2018-01-16T00:00:00.000Z,10,10530
2018-01-16T00:00:00.000Z,11,10498
2018-01-16T00:00:00.000Z,12,10477
2018-01-16T00:00:00.000Z,13,10427
2018-01-16T00:00:00.000Z,14,10375
2018-01-16T00:00:00.000Z,15,10426
2018-01-16T00:00:00.000Z,16,10441
2018-01-16T00:00:00.000Z,17,10655
2018-01-16T00:00:00.000Z,18,11081
2018-01-16T00:00:00.000Z,19,11017
2018-01-16T00:00:00.000Z,20,10864
2018-01-16T00:00:00.000Z,21,10722
2018-01-16T00:00:00.000Z,22,10426
2018-01-16T00:00:00.000Z,23,10058
2018-01-16T00:00:00.000Z,24,9667
2018-01-17T00:00:00.000Z,1,9424
2018-01-17T00:00:00.000Z,2,9282
2018-01-17T00:00:00.000Z,3,9218
2018-01-17T00:00:00.000Z,4,9184
2018-01-17T00:00:00.000Z,5,9228
2018-01-17T00:00:00.000Z,6,9345
2018-01-17T00:00:00.000Z,7,9795
2018-01-17T00:00:00.000Z,8,10294
2018-01-17T00:00:00.000Z,9,10411
2018-01-17T00:00:00.000Z,10,10360
2018-01-17T00:00:00.000Z,11,10330
2018-01-17T00:00:00.000Z,12,10289
2018-01-17T00:00:00.000Z,13,10229
2018-01-17T00:00:00.000Z,14,10207
2018-01-17T00:00:00.000Z,15,10219
2018-01-17T00:00:00.000Z,16,10229
2018-01-17T00:00:00.000Z,17,10393
2018-01-17T00:00:00.000Z,18,10682
2018-01-17T00:00:00.000Z,19,10597
2018-01-17T00:00:00.000Z,20,10483
2018-01-17T00:00:00.000Z,21,10313
2018-01-17T00:00:00.000Z,22,10059
2018-01-17T00:00:00.000Z,23,9675
2018-01-17T00:00:00.000Z,24,9346
2018-01-18T00:00:00.000Z,1,9179
2018-01-18T00:00:00.000Z,2,9055
2018-01-18T00:00:00.000Z,3,8965
2018-01-18T00:00:00.000Z,4,8930
2018-01-18T00:00:00.000Z,5,8932
2018-01-18T00:00:00.000Z,6,9176
2018-01-18T00:00:00.000Z,7,9604
2018-01-18T00:00:00.000Z,8,10132
2018-01-18T00:00:00.000Z,9,10272
2018-01-18T00:00:00.000Z,10,10213
2018-01-18T00:00:00.000Z,11,10217
2018-01-18T00:00:00.000Z,12,10263
2018-01-18T00:00:00.000Z,13,10216
2018-01-18T00:00:00.000Z,14,10230
2018-01-18T00:00:00.000Z,15,10142
2018-01-18T00:00:00.000Z,16,10147
2018-01-18T00:00:00.000Z,17,10282
2018-01-18T00:00:00.000Z,18,10600
2018-01-18T00:00:00.000Z,19,10504
2018-01-18T00:00:00.000Z,20,10354
2018-01-18T00:00:00.000Z,21,10232
2018-01-18T00:00:00.000Z,22,10006
2018-01-18T00:00:00.000Z,23,9720
2018-01-18T00:00:00.000Z,24,9459
2018-01-19T00:00:00.000Z,1,9261
2018-01-19T00:00:00.000Z,2,9108
2018-01-19T00:00:00.000Z,3,9107
2018-01-19T00:00:00.000Z,4,9035
2018-01-19T00:00:00.000Z,5,9089
2018-01-19T00:00:00.000Z,6,9280
2018-01-19T00:00:00.000Z,7,9737
2018-01-19T00:00:00.000Z,8,10216
2018-01-19T00:00:00.000Z,9,10371
2018-01-19T00:00:00.000Z,10,10288
2018-01-19T00:00:00.000Z,11,10254
2018-01-19T00:00:00.000Z,12,10261
2018-01-19T00:00:00.000Z,13,10222
2018-01-19T00:00:00.000Z,14,10196
2018-01-19T00:00:00.000Z,15,10184
2018-01-19T00:00:00.000Z,16,10177
2018-01-19T00:00:00.000Z,17,10316
2018-01-19T00:00:00.000Z,18,10581
2018-01-19T00:00:00.000Z,19,10489
2018-01-19T00:00:00.000Z,20,10373
2018-01-19T00:00:00.000Z,21,10268
2018-01-19T00:00:00.000Z,22,10098
2018-01-19T00:00:00.000Z,23,9819
2018-01-19T00:00:00.000Z,24,9500
2018-01-20T00:00:00.000Z,1,9298
2018-01-20T00:00:00.000Z,2,9134
2018-01-20T00:00:00.000Z,3,9124
2018-01-20T00:00:00.000Z,4,9084
2018-01-20T00:00:00.000Z,5,9072
2018-01-20T00:00:00.000Z,6,9171
2018-01-20T00:00:00.000Z,7,9329
2018-01-20T00:00:00.000Z,8,9608
2018-01-20T00:00:00.000Z,9,9853
2018-01-20T00:00:00.000Z,10,9998
2018-01-20T00:00:00.000Z,11,10061
2018-01-20T00:00:00.000Z,12,10073
2018-01-20T00:00:00.000Z,13,10068
2018-01-20T00:00:00.000Z,14,10008
2018-01-20T00:00:00.000Z,15,9929
2018-01-20T00:00:00.000Z,16,9951
2018-01-20T00:00:00.000Z,17,10098
2018-01-20T00:00:00.000Z,18,10410
2018-01-20T00:00:00.000Z,19,10392
2018-01-20T00:00:00.000Z,20,10286
2018-01-20T00:00:00.000Z,21,10216
2018-01-20T00:00:00.000Z,22,10068
2018-01-20T00:00:00.000Z,23,9874
2018-01-20T00:00:00.000Z,24,9631
2018-01-21T00:00:00.000Z,1,9459
2018-01-21T00:00:00.000Z,2,9288
2018-01-21T00:00:00.000Z,3,9180
2018-01-21T00:00:00.000Z,4,9170
2018-01-21T00:00:00.000Z,5,9182
2018-01-21T00:00:00.000Z,6,9233
2018-01-21T00:00:00.000Z,7,9382
2018-01-21T00:00:00.000Z,8,9596
2018-01-21T00:00:00.000Z,9,9821
2018-01-21T00:00:00.000Z,10,9943
2018-01-21T00:00:00.000Z,11,10047
2018-01-21T00:00:00.000Z,12,10062
2018-01-21T00:00:00.000Z,13,10095
2018-01-21T00:00:00.000Z,14,10083
2018-01-21T00:00:00.000Z,15,10066
2018-01-21T00:00:00.000Z,16,10119
2018-01-21T00:00:00.000Z,17,10341
2018-01-21T00:00:00.000Z,18,10734
2018-01-21T00:00:00.000Z,19,10715
2018-01-21T00:00:00.000Z,20,10607
2018-01-21T00:00:00.000Z,21,10426
2018-01-21T00:00:00.000Z,22,10160
2018-01-21T00:00:00.000Z,23,9821
2018-01-21T00:00:00.000Z,24,9542
2018-01-22T00:00:00.000Z,1,9332
2018-01-22T00:00:00.000Z,2,9208
2018-01-22T00:00:00.000Z,3,9171
2018-01-22T00:00:00.000Z,4,9166
2018-01-22T00:00:00.000Z,5,9223
2018-01-22T00:00:00.000Z,6,9437
2018-01-22T00:00:00.000Z,7,9942
2018-01-22T00:00:00.000Z,8,10500
2018-01-22T00:00:00.000Z,9,10692
2018-01-22T00:00:00.000Z,10,10646
2018-01-22T00:00:00.000Z,11,10689
2018-01-22T00:00:00.000Z,12,10650
2018-01-22T00:00:00.000Z,13,10516
2018-01-22T00:00:00.000Z,14,10469
2018-01-22T00:00:00.000Z,15,10456
2018-01-22T00:00:00.000Z,16,10436
2018-01-22T00:00:00.000Z,17,10538
2018-01-22T00:00:00.000Z,18,10881
2018-01-22T00:00:00.000Z,19,10843
2018-01-22T00:00:00.000Z,20,10730
2018-01-22T00:00:00.000Z,21,10604
2018-01-22T00:00:00.000Z,22,10317
2018-01-22T00:00:00.000Z,23,9938
2018-01-22T00:00:00.000Z,24,9658
2018-01-23T00:00:00.000Z,1,9455
2018-01-23T00:00:00.000Z,2,9394
2018-01-23T00:00:00.000Z,3,9347
2018-01-23T00:00:00.000Z,4,9343
2018-01-23T00:00:00.000Z,5,9407
2018-01-23T00:00:00.000Z,6,9598
2018-01-23T00:00:00.000Z,7,10077
2018-01-23T00:00:00.000Z,8,10535
2018-01-23T00:00:00.000Z,9,10660
2018-01-23T00:00:00.000Z,10,10602
2018-01-23T00:00:00.000Z,11,10596
2018-01-23T00:00:00.000Z,12,10610
2018-01-23T00:00:00.000Z,13,10508
